3156000,11.319619,77.011286,0.94,5,1.53
3158000,11.319619,77.011274,1.63,7,1.53
3160000,11.319629,77.011273,2.19,7,1.53
3162000,11.319626,77.011282,0.24,7,1.14
3164000,11.319620,77.011297,1.39,6,1.14
3166000,11.319619,77.011325,3.07,6,1.14
3168000,11.319657,77.011329,3.43,7,1.01
3170000,11.319676,77.011329,1.80,8,1.01
3172000,11.319677,77.011333,1.41,6,1.14
3174000,11.319663,77.011336,1.11,7,1.14
3176000,11.319651,77.011343,2.41,7,1.14
3178000,11.319637,77.011362,0.78,8,0.88
3180000,11.319621,77.011376,1.00,8,1.19
3182000,11.319602,77.011375,0.91,8,1.19
3184000,11.319594,77.011381,1.69,5,1.89
3186000,11.319591,77.011389,1.76,5,1.89
3188000,11.319596,77.011387,0.93,6,1.89
3190000,11.319602,77.011383,0.65,6,1.90
3192000,11.319599,77.011382,1.54,6,1.90
3194000,11.319577,77.011386,2.46,5,1.90
3196000,11.319550,77.011381,0.94,7,1.02
3198000,11.319531,77.011393,0.94,7,1.02
3200000,11.319516,77.011397,0.31,7,1.02
3202000,11.319496,77.011398,1.78,7,1.02
3204000,11.319498,77.011386,1.43,6,1.90
3206000,11.319503,77.011367,2.20,6,1.91
3208000,11.319513,77.011369,0.72,6,1.91
3210000,11.319504,77.011366,1.26,6,1.91
3212000,11.319483,77.011364,3.17,6,1.91
3214000,11.319499,77.011360,0.91,6,1.91
3216000,11.319508,77.011368,0.63,6,1.19
3218000,11.319521,77.011369,2.50,6,1.19
3220000,11.319528,77.011378,1.80,6,1.19
3222000,11.319519,77.011383,1.13,6,1.19
3224000,11.319514,77.011410,2.96,6,1.19
3226000,11.319521,77.011415,1.96,5,1.92
3228000,11.319518,77.011410,0.54,5,1.92
3230000,11.319508,77.011410,1.15,5,1.92
3232000,11.319523,77.011420,1.69,5,1.92
3234000,11.319533,77.011417,1.04,5,1.92
3236000,11.319541,77.011418,1.33,5,1.92
3238000,11.319554,77.011411,0.69,5,1.93
3240000,11.319572,77.011400,2.56,5,1.93
3242000,11.319570,77.011396,0.93,5,1.93
3244000,11.319577,77.011392,1.02,6,1.93
3246000,11.319579,77.011383,1.04,6,1.93
3248000,11.319580,77.011382,0.44,5,1.93
3250000,11.319591,77.011376,0.98,5,1.93
3252000,11.319594,77.011374,0.48,5,1.94
3254000,11.319605,77.011369,0.46,5,1.94
3256000,11.319620,77.011369,0.20,6,1.94
3258000,11.319622,77.011362,1.02,6,1.94
3260000,11.319620,77.011359,0.43,6,1.94
3262000,11.319672,77.011346,1.59,6,1.10
3264000,11.319741,77.011322,1.41,6,1.10
3266000,11.319806,77.011298,2.83,6,1.10
3268000,11.319846,77.011276,3.44,7,0.98
3270000,11.319844,77.011268,2.69,7,1.95
3272000,11.319838,77.011273,1.44,7,1.95
3274000,11.319820,77.011288,1.80,7,1.95
3276000,11.319807,77.011304,1.98,7,1.19
3278000,11.319787,77.011311,0.46,7,1.19
3280000,11.319787,77.011305,0.72,5,1.95
3282000,11.319776,77.011303,1.39,5,1.95
3284000,11.319770,77.011301,1.02,4,2.01
3286000,11.319755,77.011303,1.91,6,2.01
3288000,11.319733,77.011320,2.61,7,0.99
3290000,11.319705,77.011339,3.43,7,0.99
3292000,11.319656,77.011352,5.52,7,0.93
3294000,11.319639,77.011353,4.61,6,1.23
3296000,11.319624,77.011358,5.00,6,1.23
3298000,11.319628,77.011364,3.02,7,1.14
3300000,11.319613,77.011364,4.13,6,1.14
3302000,11.319601,77.011365,3.13,6,1.14
3304000,11.319608,77.011361,2.26,5,1.97
3306000,11.319612,77.011361,1.57,5,2.02
3308000,11.319616,77.011364,1.48,5,2.02
3310000,11.319619,77.011375,2.13,5,2.03
3312000,11.319636,77.011375,1.15,5,1.97
3314000,11.319641,77.011381,1.48,5,1.97
3316000,11.319641,77.011385,0.78,5,2.03
3318000,11.319633,77.011390,2.31,5,2.03
3320000,11.319641,77.011382,0.22,6,2.03
3322000,11.319644,77.011379,1.72,5,2.04
3324000,11.319645,77.011379,0.78,4,2.04
3326000,11.319646,77.011371,0.50,4,2.04
3328000,11.319633,77.011366,1.26,4,2.04
3330000,11.319630,77.011358,0.98,4,2.04
3332000,11.319612,77.011361,1.85,4,2.04
3334000,11.319595,77.011365,1.31,4,2.04
3336000,11.319587,77.011368,2.22,4,2.05
3338000,11.319596,77.011360,0.63,4,2.05
3340000,11.319587,77.011353,1.80,4,2.05
3342000,11.319581,77.011348,0.83,4,2.05
3344000,11.319566,77.011353,2.02,4,2.05
3346000,11.319551,77.011361,1.85,4,2.05
3348000,11.319554,77.011357,1.02,4,2.06
3350000,11.319553,77.011358,0.98,4,2.06
3352000,11.319558,77.011339,1.37,4,2.06
3354000,11.319551,77.011327,2.19,4,2.06
3356000,11.319564,77.011323,1.98,4,2.06
